Age,AnnualIncome,Gender,MembershipDuration,Location,Churn
55,79645.11,Male,4,Urban,0
50,42648.21,Male,2,Rural,0
54,87496.12,Female,4,Urban,0
44,29755.95,Female,6,Urban,0
50,97709.25,Male,3,Suburban,0
21,80178.29,Female,1,Urban,0
39,20281.41,Male,8,Rural,0
19,60919.9,Male,5,Urban,0
27,98683.06,Female,5,Rural,0
22,52395.89,Male,4,Urban,0
27,26389.64,Male,6,Urban,0
50,53630.05,Female,3,Urban,0
55,56121.19,Male,9,Urban,0
30,76751.82,Male,5,Rural,0
48,72896.13,Male,3,Rural,0
53,46229.5,Male,1,Suburban,0
41,29622.08,Female,6,Rural,0
32,68054.88,Female,2,Urban,0
46,47953.35,Female,3,Suburban,0
25,21904.86,Male,1,Suburban,1
22,91051.51,Male,9,Suburban,0
46,72209.97,Female,8,Urban,0
21,71486.55,Male,2,Rural,0
29,84032.55,Male,8,Urban,0
19,57669.55,Male,9,Suburban,0
44,83354.9,Male,1,Urban,0
48,54828.17,Female,5,Urban,0
53,16045.79,Female,8,Rural,0
53,46472.33,Female,2,Rural,0
43,54771.84,Male,4,Suburban,0
44,74818.23,Female,7,Urban,0
22,19592.09,Female,3,Urban,0
37,22601.67,Male,5,Rural,0
28,33731.54,Male,8,Urban,0
27,33984.86,Female,3,Urban,0
57,75896.61,Female,4,Urban,0
55,32565.76,Female,9,Rural,0
23,66978.83,Female,7,Suburban,0
25,54484.65,Male,1,Suburban,0
40,61596.49,Female,4,Urban,0
43,85429.63,Female,4,Suburban,0
29,46394.34,Male,9,Rural,0
43,79382.02,Female,6,Rural,0
30,47983.25,Male,9,Suburban,0
57,41848.42,Male,6,Suburban,0
35,96276.45,Male,6,Urban,0
42,26593.38,Female,5,Suburban,0
50,18130.33,Female,5,Urban,0
57,79388.73,Male,2,Urban,0
29,16142.47,Female,8,Rural,0
53,85337.11,Female,8,Rural,0
21,49347.41,Male,1,Rural,0
22,92396.23,Male,8,Rural,0
54,74937.96,Female,5,Suburban,0
25,64936.42,Male,2,Rural,0
59,95437.61,Female,2,Suburban,0
45,45698.44,Female,6,Rural,0
48,95867.82,Female,9,Suburban,0
26,22150.11,Female,1,Urban,0
46,53537.94,Male,6,Suburban,0
31,34292.01,Male,9,Suburban,0
57,58585.85,Male,8,Rural,0
58,24581.25,Male,6,Suburban,0
39,85737.67,Female,3,Urban,0
28,86176.71,Female,8,Urban,0
40,95971.27,Male,9,Rural,0
18,23920.49,Female,1,Urban,0
54,66099.93,Female,9,Suburban,0
38,52681.36,Female,6,Urban,0
43,40994.54,Male,6,Rural,0
53,41638.61,Male,4,Suburban,0
40,47151.42,Male,1,Rural,0
18,73443.3,Female,8,Suburban,0
57,63845.75,Male,2,Urban,0
32,51371.34,Male,1,Rural,0
38,16834.01,Male,2,Rural,1
26,16998.88,Male,1,Suburban,1
26,10210.55,Male,1,Rural,1
27,97092.94,Male,9,Suburban,0
